matchid,map,game_length,rounds_played,mode,season_id
03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,Sunset,724,7,Swiftplay,3ea2b318-423b-cf86-25da-7cbb0eefbe2d
429c77b6-2a9c-4191-b42d-0d5fced21c8f,Bind,487,5,Swiftplay,3ea2b318-423b-cf86-25da-7cbb0eefbe2d
